OID,CustomerID,Date,Location,Item,Item Type,Quantity,Unit Cost,Total Cost,Payment Type,Rating,Restaurant
40358,ID4369,2022-09-19 ,Narsingi,Fish,Non Veg,8,320,2560,Cash,5,Hotel CVR
45943,ID1136,2023-09-20 ,Gachibowli,Chicken,Non Veg,4,250,1000,Cash,2,Balaji Hotel
13574,ID7514,2021-04-21 ,Kokapet,Puri,Veg,2,60,120,Phone Pay,5,Balaji Hotel
59824,ID3166,2020-03-11 ,Narsingi,Chicken,Non Veg,9,250,2250,Cash,2,Balaji Hotel
95115,ID1962,2023-01-23 ,Kokapet,Poha,Veg,6,70,420,Cash,1,Hotel CVR
35318,ID3304,2024-06-08 ,Hitech City,Dosa,Veg,7,60,420,Google Pay,5,Adhya Grand
28719,ID7845,2020-12-22 ,Kokapet,Mutton,Non Veg,9,350,3150,Google Pay,3,Hotel CVR
66824,ID1730,2021-04-30 ,Madhapur,Fish,Non Veg,2,320,640,Phone Pay,3,Adhya Grand
72824,ID9467,2023-05-14 ,Nanakramguda,Fish,Non Veg,7,320,2240,Cash,1,Hotel CVR
36180,ID5263,2022-10-31 ,Narsingi,Poha,Veg,3,70,210,Phone Pay,4,Adhya Grand
13581,ID9327,2021-05-08 ,Hitech City,Chicken,Non Veg,5,250,1250,Cash,2,Hotel CVR
9307,ID9346,2024-03-18 ,Gachibowli,Chicken,Non Veg,4,250,1000,Google Pay,4,Balaji Hotel
78580,ID4928,2021-02-13 ,Gachibowli,Fish,Non Veg,2,320,640,Phone Pay,4,New Punjabi Hotel
60313,ID8396,2020-12-13 ,Hitech City,Mutton,Non Veg,7,350,2450,Phone Pay,4,Kaveri Restaurant
86147,ID9917,2020-04-26 ,Madhapur,Poha,Veg,4,70,280,Cash,4,Tandoor Hut
97610,ID9498,2021-02-16 ,Kokapet,Mutton,Non Veg,9,350,3150,Phone Pay,3,Adhya Grand
39592,ID7871,2022-02-01 ,Narsingi,Poha,Veg,6,70,420,Google Pay,3,Hotel CVR
99113,ID1318,2024-11-06 ,Gachibowli,Dosa,Veg,10,60,600,Phone Pay,2,Kaveri Restaurant
4606,ID4417,2023-05-15 ,Narsingi,Chicken,Non Veg,4,250,1000,Google Pay,1,New Punjabi Hotel
85809,ID9570,2023-11-18 ,Narsingi,Poha,Veg,4,70,280,Cash,2,New Punjabi Hotel
13844,ID8829,2024-04-22 ,Gachibowli,Mutton,Non Veg,6,350,2100,Cash,3,Hotel CVR
64219,ID1166,2022-05-28 ,Hitech City,Fish,Non Veg,1,320,320,Google Pay,5,Hotel CVR
33743,ID5318,2020-06-22 ,Madhapur,Fish,Non Veg,4,320,1280,Google Pay,2,Hotel CVR
67458,ID2367,2024-10-26 ,Gachibowli,Dal,Veg,10,180,1800,Cash,4,Adhya Grand
31946,ID3725,2024-02-04 ,Narsingi,Dosa,Veg,9,60,540,Google Pay,2,Kaveri Restaurant
97827,ID2133,2023-08-22 ,Kokapet,Chicken,Non Veg,7,250,1750,Google Pay,1,Adhya Grand
86068,ID8311,2021-10-16 ,Gachibowli,Dosa,Veg,5,60,300,Phone Pay,4,Kaveri Restaurant
17696,ID5236,2021-10-14 ,Hitech City,Fish,Non Veg,3,320,960,Google Pay,3,Tandoor Hut
89360,ID4808,2021-09-26 ,Narsingi,Mutton,Non Veg,3,350,1050,Cash,1,Tandoor Hut
1860,ID9398,2021-04-03 ,Madhapur,Poha,Veg,4,70,280,Phone Pay,5,Balaji Hotel
83559,ID6624,2023-07-05 ,Gachibowli,Chicken,Non Veg,8,250,2000,Cash,1,Tandoor Hut
4566,ID4396,2023-01-04 ,Hitech City,Mutton,Non Veg,1,350,350,Cash,1,New Punjabi Hotel
91485,ID1159,2024-07-28 ,Narsingi,Poha,Veg,2,70,140,Phone Pay,2,Balaji Hotel
40094,ID5961,2021-04-23 ,Gachibowli,Puri,Veg,5,60,300,Cash,5,Balaji Hotel
15886,ID6069,2023-05-19 ,Nanakramguda,Poha,Veg,5,70,350,Phone Pay,3,Tandoor Hut
82407,ID2990,2023-08-09 ,Hitech City,Chicken,Non Veg,7,250,1750,Phone Pay,2,Balaji Hotel
66565,ID5212,2022-01-17 ,Gachibowli,Chapathi,Veg,2,15,30,Phone Pay,4,Adhya Grand
27248,ID9683,2023-10-01 ,Hitech City,Dosa,Veg,4,60,240,Cash,3,Hotel CVR
27751,ID6113,2022-07-12 ,Hitech City,Poha,Veg,1,70,70,Google Pay,1,Balaji Hotel
44693,ID1276,2021-06-02 ,Narsingi,Poha,Veg,6,70,420,Google Pay,1,Tandoor Hut
29118,ID7358,2021-07-11 ,Gachibowli,Dosa,Veg,5,60,300,Phone Pay,2,Kaveri Restaurant
25894,ID4979,2021-03-10 ,Nanakramguda,Chicken,Non Veg,7,250,1750,Google Pay,3,Kaveri Restaurant
42405,ID1327,2022-03-14 ,Kokapet,Puri,Veg,8,60,480,Phone Pay,2,Kaveri Restaurant
96678,ID3072,2021-12-07 ,Madhapur,Chicken,Non Veg,7,250,1750,Phone Pay,1,Kaveri Restaurant
63510,ID2445,2024-06-11 ,Nanakramguda,Chicken,Non Veg,6,250,1500,Phone Pay,5,New Punjabi Hotel
68888,ID8220,2020-12-17 ,Madhapur,Dal,Veg,7,180,1260,Google Pay,1,Kaveri Restaurant
68581,ID6280,2020-06-22 ,Nanakramguda,Dal,Veg,1,180,180,Phone Pay,5,Adhya Grand
50623,ID9264,2024-07-13 ,Madhapur,Chicken,Non Veg,6,250,1500,Google Pay,4,Adhya Grand
48460,ID7927,2020-08-22 ,Nanakramguda,Puri,Veg,9,60,540,Phone Pay,5,New Punjabi Hotel
89837,ID2873,2020-04-29 ,Narsingi,Dosa,Veg,10,60,600,Google Pay,3,Adhya Grand
8977,ID5342,2024-12-27 ,Kokapet,Puri,Veg,5,60,300,Phone Pay,1,Tandoor Hut
15324,ID2761,2021-02-14 ,Nanakramguda,Puri,Veg,5,60,300,Phone Pay,5,Adhya Grand
7628,ID9468,2023-09-30 ,Kokapet,Mutton,Non Veg,6,350,2100,Cash,4,Adhya Grand
24866,ID2813,2023-03-17 ,Narsingi,Puri,Veg,5,60,300,Phone Pay,5,Adhya Grand
4031,ID8855,2023-02-03 ,Narsingi,Fish,Non Veg,8,320,2560,Phone Pay,5,Balaji Hotel
46040,ID5718,2022-04-20 ,Narsingi,Dal,Veg,5,180,900,Cash,4,Tandoor Hut
13040,ID1063,2022-07-24 ,Narsingi,Dal,Veg,8,180,1440,Google Pay,3,Hotel CVR
82709,ID9038,2023-03-12 ,Madhapur,Chapathi,Veg,8,15,120,Google Pay,1,Balaji Hotel
96038,ID5848,2021-02-04 ,Madhapur,Dal,Veg,10,180,1800,Google Pay,5,Hotel CVR
36727,ID3265,2021-03-07 ,Narsingi,Chapathi,Veg,5,15,75,Google Pay,5,Tandoor Hut
14915,ID4092,2022-09-25 ,Madhapur,Fish,Non Veg,8,320,2560,Google Pay,2,Adhya Grand
90859,ID6226,2022-06-25 ,Hitech City,Chapathi,Veg,1,15,15,Phone Pay,3,Hotel CVR
96742,ID7780,2023-07-15 ,Kokapet,Chapathi,Veg,5,15,75,Google Pay,1,Hotel CVR
17879,ID3248,2021-03-09 ,Madhapur,Dosa,Veg,5,60,300,Phone Pay,2,Balaji Hotel
72471,ID8313,2023-12-21 ,Narsingi,Puri,Veg,2,60,120,Phone Pay,1,Hotel CVR
58163,ID6194,2024-06-19 ,Nanakramguda,Dal,Veg,10,180,1800,Cash,4,Adhya Grand
56263,ID2828,2022-09-21 ,Kokapet,Puri,Veg,5,60,300,Google Pay,5,Hotel CVR
18988,ID1678,2020-04-23 ,Narsingi,Chicken,Non Veg,9,250,2250,Cash,4,New Punjabi Hotel
17564,ID6448,2021-06-17 ,Nanakramguda,Dal,Veg,4,180,720,Cash,4,Adhya Grand
65940,ID7328,2024-02-18 ,Nanakramguda,Puri,Veg,10,60,600,Phone Pay,5,Adhya Grand
48728,ID6851,2022-05-11 ,Hitech City,Mutton,Non Veg,2,350,700,Phone Pay,4,Tandoor Hut
41947,ID2699,2022-02-17 ,Narsingi,Fish,Non Veg,9,320,2880,Cash,5,Balaji Hotel
41472,ID8923,2020-05-07 ,Gachibowli,Dosa,Veg,3,60,180,Cash,2,Adhya Grand
71279,ID7485,2020-01-29 ,Madhapur,Poha,Veg,8,70,560,Google Pay,5,Kaveri Restaurant
60155,ID2516,2022-02-06 ,Hitech City,Dal,Veg,9,180,1620,Google Pay,4,Tandoor Hut
15418,ID5868,2021-10-17 ,Madhapur,Chapathi,Veg,7,15,105,Phone Pay,3,Adhya Grand
55800,ID8291,2024-05-25 ,Gachibowli,Poha,Veg,8,70,560,Cash,2,New Punjabi Hotel
69776,ID9708,2024-11-25 ,Kokapet,Dal,Veg,9,180,1620,Google Pay,4,Tandoor Hut
53097,ID3981,2022-10-01 ,Hitech City,Poha,Veg,6,70,420,Google Pay,3,Tandoor Hut
